movieId,Title,Year,genres,Tag
88,Black Sheep ,1996,Comedy,Chris Farley
89,Nick of Time ,1995,Action,Johnny Depp
92,Mary Reilly ,1996,Drama,related:Dr. Jekyll and Mr. Hyde
93,Vampire in Brooklyn ,1995,Comedy,Wes Craven
94,Beautiful Girls ,1996,Comedy,beautiful
95,Broken Arrow ,1996,Action,action packed
96,In the Bleak Midwinter ,1995,Comedy,Kenneth Branagh
97,Hate Haine,1995,Crime,class conflict
98,Shopping ,1994,Action,want to own
100,City Hall ,1996,Drama,corruption
101,Bottle Rocket ,1996,Adventure,Luke Wilson
102,Mr. Wrong ,1996,Comedy,one of the worst ever
103,Unforgettable ,1996,Mystery,Forgettable
104,Happy Gilmore ,1996,Comedy,Adam Sandler
105,Bridges of Madison County,1995,Drama,adultery
107,Muppet Treasure Island ,1996,Adventure,Muppets
110,Braveheart ,1995,Action,drama
111,Taxi Driver ,1976,Crime,BFI classic
112,Rumble in the Bronx Hont faan kui ,1995,Action,Kung-Fu
114,Margaret's Museum ,1995,Drama,Mort Ransen
115,Happiness Is in the Field Bonheur est dans le pré,1995,Comedy,11-Jan
116,Anne Frank Remembered ,1995,Documentary,Oscar:documentary
117,Young Poisoner's Handbook,1995,Crime,disturbing
118,If Lucy Fell ,1996,Comedy,CLV
121,Boys of St. Vincent,1992,Drama,based on a true story
122,Boomerang ,1992,Comedy,Nudity (Topless - Brief)
123,Chungking Express Chung Hing sam lam ,1994,Drama,Hong Kong
124,Star Maker,1995,Drama,Giuseppe Tornatore
125,Flirting With Disaster ,1996,Comedy,Ben Stiller
128,Jupiter's Wife ,1994,Documentary,Michel Negroponte
129,Pie in the Sky ,1996,Comedy,Nudity (Topless - Notable)
132,Jade ,1995,Thriller,Chazz Palminteri
133,Nueba Yol ,1995,Comedy,drama
134,Sonic Outlaws ,1995,Documentary,illegal art
135,Down Periscope ,1996,Comedy,setting:submarine
136,From the Journals of Jean Seberg ,1995,Documentary,documentary
138,Neon Bible,1995,Drama,1940s
140,Up Close and Personal ,1996,Drama,love story
141,Birdcage,1996,Comedy,Robin Williams
144,Brothers McMullen,1995,Comedy,family
145,Bad Boys ,1995,Action,good action
146,Amazing Panda Adventure,1995,Adventure,Christopher Cain
147,Basketball Diaries,1995,Drama,addiction
148,Awfully Big Adventure,1995,Drama,Nudity (Topless - Notable)
149,Amateur ,1994,Crime,AMNESIA
150,Apollo 13 ,1995,Adventure,astronauts
151,Rob Roy ,1995,Action,rape
152,Addiction,1995,Drama,Christopher Walken
153,Batman Forever ,1995,Action,Ei muista
154,Beauty of the Day Belle de jour ,1967,Drama,DOUBLE LIFE
155,Beyond Rangoon ,1995,Adventure,History
156,Blue in the Face ,1995,Comedy,Nudity (Topless)
157,Canadian Bacon ,1995,Comedy,Michael Moore
158,Casper ,1995,Adventure,adapted from:comic
159,Clockers ,1995,Crime,DVD-Video
160,Congo ,1995,Action,?adapted from:book
161,Crimson Tide ,1995,Drama,Gene Hackman
162,Crumb ,1994,Documentary,biographical
163,Desperado ,1995,Action,violence
164,Devil in a Blue Dress ,1995,Crime,atmospheric
165,Die Hard: With a Vengeance ,1995,Action,Bruce Willis
166,Doom Generation,1995,Comedy,shock and truth
167,Feast of July ,1995,Drama,Last Words connection
168,First Knight ,1995,Action,chick flick
169,Free Willy 2: The Adventure Home ,1995,Adventure,animal:orca
170,Hackers ,1995,Action,alter ego
171,Jeffrey ,1995,Comedy,4th wall
172,Johnny Mnemonic ,1995,Action,adapted from:author
173,Judge Dredd ,1995,Action,?android(s)cyborg(s)
174,Jury Duty ,1995,Comedy,John Fortenberry
175,Kids ,1995,Drama,controversial
176,Living in Oblivion ,1995,Comedy,Catherine Keener
177,Lord of Illusions ,1995,Horror,cult
178,Love & Human Remains ,1993,Comedy,adapted from:play
179,Mad Love ,1995,Drama,Nudity (Topless - Brief)
180,Mallrats ,1995,Comedy,Jay and Silent Bob
181,Mighty Morphin Power Rangers: The Movie ,1995,Action,Nostalgic
182,Moonlight and Valentino ,1995,Drama,Nudity (Topless - Notable)
183,Mute Witness ,1994,Comedy,Nudity (Topless)
185,Net,1995,Action,computer cracker
186,Nine Months ,1995,Comedy,arnold
187,Party Girl ,1995,Comedy,Bechdel Test:Pass
188,Prophecy,1995,Fantasy,Best devil ever
189,Reckless ,1995,Comedy,Mia Farrow
190,Safe ,1995,Thriller,environment
191,Scarlet Letter,1995,Drama,Gary Oldman
193,Showgirls ,1995,Drama,Nudity (Full Frontal)
194,Smoke ,1995,Comedy,Harvey Keitel
196,Species ,1995,Horror,first contact
197,Stars Fell on Henrietta,1995,Drama,CLV
198,Strange Days ,1995,Action,Angela Bassett
199,Umbrellas of Cherbourg,1964,Drama,musical
201,Three Wishes ,1995,Drama,1950s
202,Total Eclipse ,1995,Drama,David Thewlis
203,To Wong Foo,1995,Comedy,fantastic
204,Under Siege 2: Dark Territory ,1995,Action,action
205,Unstrung Heroes ,1995,Comedy,John Turturro
206,Unzipped ,1995,Documentary,Douglas Keeve
207,Walk in the Clouds,1995,Drama,Romance
208,Waterworld ,1995,Action,dark hero
210,Wild Bill ,1995,Western,CLV
211,Browning Version,1994,Drama,Mike Figgis
212,Bushwhacked ,1995,Adventure,Greg Beeman
213,Burnt by the Sun Utomlyonnye solntsem ,1994,Drama,Russian
214,Before the Rain Pred dozhdot ,1994,Drama,horror of war
215,Before Sunrise ,1995,Drama,conversation
216,Billy Madison ,1995,Comedy,Funniest Movies
217,Babysitter,1995,Drama,nudity (topless)
218,Boys on the Side ,1995,Comedy,women
219,Cure,1995,Drama,AIDS
220,Castle Freak ,1995,Horror,Full Moon Entertainment
222,Circle of Friends ,1995,Drama,chick flick
223,Clerks ,1994,Comedy,slackers
224,Don Juan DeMarco ,1995,Comedy,fantasy
225,Disclosure ,1994,Drama,author:Michael Crichton
227,Drop Zone ,1994,Action,Cant remember
229,Death and the Maiden ,1994,Drama,Roman Polanski
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
